"","Coverage","Uncut","Cut","Diversity","Substitutions","Indel","Cmut","CmutPam","C.T","length","active.UncutPAM.qualiy","uncut.quality","inactive.PAM.quality","cut.length","all.length","Mutationperbase","System","Day","Lane","gRNA","p.cut","p.uncut","p.uncut.quality","Day.c","replicate","p.active.uncut.PAM","p.inactive.cut"
"12",3228,3015,213,0.0732040533885002,0.115551425030979,0.0133209417596035,0.030359355638166,0.0204460966542751,0.00991325898389095,24.9919454770756,205,2959,64,24.8996282527881,24.9919454770756,"0.05_0.07_0.12_0.08_0.14_0.08_0.16_0.18_0.14_0.07_0.12_0.05_0.04_0.16_0.04_0.06_0.1_0.03_0.13_0.13","Cas9",0,8227,"g3",0.0513129366417731,0.934014869888476,0.916666666666667,0,"Replicate1",0.0635068153655514,0.0198265179677819
"13",9771,2714,7057,0.561224208404371,1.83645481526968,3.32749974414082,1.18626547948009,0.249718554907379,0.18923344591137,23.0789069696039,3616,2685,3470,22.0115721140277,23.0789069696039,"0.08_0.19_0.24_0.2_0.19_0.17_0.14_0.34_0.17_0.17_0.2_0.17_0.37_0.23_0.12_0.28_0.18_0.42_0.4_0.09","BE3",10,8227,"g4",0.585886259858863,0.277760720499437,0.274792754068161,10,"Replicate1",0.370074710879132,0.355132535052707
"14",1661,340,1321,0.414780945325714,1.06863335340157,2.56110776640578,0.588801926550271,0.405177603853101,0.0626128838049368,22.2077062010837,1113,328,220,21.5131282820705,22.2077062010837,"0.02_0.03_0.08_0.02_0.05_0.04_0.03_0.09_0.09_0.04_0.08_0.05_0.14_0.15_0.11_0.26_0.16_0.54_0.41_0.11","Cas9",4,8227,"g4",0.680577022153529,0.20469596628537,0.197471402769416,4,"Replicate1",0.670078266104756,0.132450331125828
"15",3134,1177,1957,0.244258569294264,0.523611997447352,1.11997447351627,0.119974473516273,0,0.0274409700063816,24.5118059987237,1696,1148,290,24.2275931520645,24.5118059987237,"0.06_0.12_0.12_0.05_0.08_0.12_0.1_0.08_0.04_0.11_0.1_0.1_0.13_0.09_0.24_0.12_0.23_0.12_0.28_0.08","BE3",4,8227,"g2",0.503991758949266,0.375558391831525,0.366305041480536,4,"Replicate1",0.541161455009572,0.0925335035098915
"16",8324,7928,396,0.0677436976941155,0.0628303700144161,0.00444497837578087,0.0157376261412782,0.00985103315713599,0.00636713118692936,24.9990389235944,380,7777,167,24.981718464351,24.9990389235944,"0.05_0.13_0.1_0.06_0.11_0.07_0.15_0.12_0.07_0.06_0.07_0.05_0.05_0.12_0.03_0.05_0.07_0.05_0.09_0.09","BE3",0,8227,"g3",0.0371935756551141,0.952426717924075,0.934286400768861,0,"Replicate1",0.0456511292647765,0.0200624699663623
"17",2674,756,1918,0.272109839100678,0.298055347793568,1.68062827225131,0.117053103964099,0.0157068062827225,0.0321615557217651,23.9730740463725,1735,743,196,23.5779388917659,23.9730740463725,"0.01_0.02_0.05_0.03_0.06_0.02_0.01_0.07_0.05_0.03_0.05_0.06_0.13_0.09_0.13_0.17_0.21_0.14_0.33_0.08","Cas9",2,8227,"g1",0.577363034316677,0.282722513089005,0.277860882572924,2,"Replicate1",0.648840688107704,0.0732984293193717
"18",11447,2793,8654,0.445528766233331,0.899711714859789,2.91185463440203,0.356949419061763,0.284616056608718,0.0559972045077313,21.7800297021054,7406,2750,1291,20.761871909854,21.7800297021054,"0.08_0.11_0.08_0.04_0.06_0.11_0.14_0.12_0.16_0.04_0.05_0.1_0.18_0.24_0.14_0.24_0.2_0.33_0.33_0.1","Cas9",10,8227,"g3",0.611244526063003,0.243994059578929,0.240237616842841,10,"Replicate1",0.64698174194112,0.112780641216039
"19",16827,7459,9368,0.294046156970877,0.842277292446663,1.3016580495632,0.195043679800321,0,0.0171747786295834,24.6367742318892,6567,7265,2995,24.3598619535662,24.6367742318892,"0.09_0.17_0.17_0.08_0.18_0.18_0.13_0.14_0.11_0.13_0.13_0.16_0.18_0.11_0.26_0.14_0.19_0.2_0.22_0.12","BE3",10,8227,"g2",0.453568316064685,0.44327568788257,0.431746597729839,10,"Replicate1",0.390265644499911,0.17798775777025
"20",839,798,41,0.00269554260880933,0.0715137067938021,0.0488676996424315,0.0512514898688915,0.0131108462455304,0.0107270560190703,29.9439809296782,37,782,20,29.1754385964912,29.9439809296782,"0.17_0_0.1_0.07_0_0.06_0.06_0.07_0.03_0.03_0.03_0.07_0.03_0.03_0.03_0.07_0_0.03_0.03_0","BE3",0,8227,"g9",0.0409181636726547,0.951132300357569,0.932061978545888,0,"Replicate1",0.0441001191895113,0.0238379022646007
"21",1733,1650,83,0.000308776635619012,0.0709751875360646,0.0300057703404501,0.050201961915753,0.00980957876514714,0.00865551067512983,29.9653779572995,78,1619,36,29.4736842105263,29.9653779572995,"0.15_0.02_0.12_0.12_0.06_0.08_0.06_0.04_0.06_0.04_0.02_0.09_0.02_0.06_0.02_0.06_0.02_0.02_0.07_0.04","Cas9",0,8227,"g9",0.0389305816135084,0.952106174264282,0.934218118869013,0,"Replicate1",0.0450086555106751,0.0207732256203116
"22",964,892,72,0.0279368107217863,0.246887966804979,0.139004149377593,0.134854771784232,0.00311203319502075,0.0342323651452282,29.8485477178423,48,882,34,28.219512195122,29.8485477178423,"0.03_0.2_0.03_0.14_0.11_0.03_0.06_0.08_0.13_0.11_0.08_0.11_0.11_0.11_0.05_0.11_0.14_0.18_0.06_0.06","BE3",2,8227,"g6",0.0597510373443983,0.925311203319502,0.9149377593361,2,"Replicate1",0.0497925311203319,0.0352697095435685
"23",6177,5746,431,0.0697128403400318,0.0777076250607091,0.0110085802169338,0.0482434838918569,0.000647563542172576,0.00534239922292375,24.9899627650963,421,5677,79,24.876,24.9899627650963,"0.03_0.05_0.1_0.05_0.05_0.07_0.03_0.08_0.04_0.03_0.04_0.06_0.11_0.08_0.08_0.05_0.09_0.03_0.08_0.07","BE3",0,8227,"g1",0.0551574097773228,0.930225028330905,0.919054557228428,0,"Replicate1",0.0681560628136636,0.0127893799579084
"24",2197,500,1697,0.825147077237694,7.57532999544834,1.59353664087392,3.02913063268093,0.00136549840691853,1.51115157032317,26.1447428311334,1657,495,45,25.0235017626322,26.1447428311334,"0.54_0.27_0.1_0.2_0.58_0.6_0_0.08_0.5_0.06_0.04_0.02_0.46_0.06_0.42_0.46_0.15_0.57_0.06_0.15","Cas9",10,8227,"g6",0.683722804190169,0.227583067819754,0.225307237141557,10,"Replicate1",0.754210286754666,0.0204824761037779
"25",857,788,69,0.0275728776087361,0.213535589264877,0.170361726954492,0.110851808634772,0.00350058343057176,0.0221703617269545,29.8086347724621,49,773,35,28.047619047619,29.8086347724621,"0.05_0.13_0.03_0.1_0.17_0.05_0.07_0.14_0.12_0.12_0.08_0.12_0.15_0.02_0.03_0.11_0.05_0.15_0.03_0","Cas9",0,8227,"g6",0.066925315227934,0.919486581096849,0.901983663943991,0,"Replicate1",0.0571761960326721,0.0408401400233372
"26",1461,986,475,0.220156430555854,0.695414099931554,0.919233401779603,0.46611909650924,0.327173169062286,0.0609171800136893,23.7467488021903,396,965,100,21.3084677419355,23.7467488021903,"0.07_0.12_0.06_0.09_0.03_0.04_0.06_0.04_0.07_0.05_0.08_0.05_0.11_0.12_0.11_0.2_0.24_0.37_0.09_0.52","Cas9",10,8227,"g5",0.295765877957659,0.674880219028063,0.660506502395619,10,"Replicate1",0.271047227926078,0.0684462696783025
"27",2690,1751,939,0.18687398843261,0.330483271375465,0.877323420074349,0.155390334572491,0.133085501858736,0.0234200743494424,24.1457249070632,868,1718,104,22.6337448559671,24.1457249070632,"0.01_0.07_0.06_0.01_0.06_0.09_0.11_0.07_0.08_0.03_0.04_0.06_0.1_0.09_0.09_0.23_0.18_0.22_0.3_0.05","BE3",2,8227,"g3",0.265855039637599,0.65092936802974,0.638661710037175,2,"Replicate1",0.322676579925651,0.0386617100371747
"28",5206,2829,2377,0.230774089263237,0.638686131386861,0.999039569727238,0.409719554360353,0.019208605455244,0.127929312331925,24.6083365347676,1898,2793,515,24.1446332366349,24.6083365347676,"0.04_0.13_0.15_0.14_0.16_0.12_0.08_0.16_0.07_0.08_0.15_0.13_0.18_0.16_0.13_0.18_0.22_0.11_0.25_0.12","BE3",4,8227,"g1",0.370595572185843,0.543411448328851,0.536496350364963,4,"Replicate1",0.36457933154053,0.0989243180945063
"29",1615,915,700,0.227382310275386,0.551083591331269,0.957894736842105,0.162229102167183,0,0.0315789473684211,24.8117647058824,527,899,189,24.5684357541899,24.8117647058824,"0.05_0.12_0.07_0.07_0.04_0.12_0.08_0.13_0.05_0.15_0.14_0.13_0.13_0.14_0.16_0.07_0.09_0.04_0.21_0.14","BE3",2,8227,"g2",0.353713996968166,0.56656346749226,0.556656346749226,2,"Replicate1",0.326315789473684,0.11702786377709
"30",2617,1002,1615,0.228080238980416,0.301490256018342,1.21131066106229,0.0481467329002675,0,0.0202521971723347,24.227359572029,1469,977,171,23.7670731707317,24.227359572029,"0.02_0.04_0.05_0.01_0.03_0.05_0.06_0.05_0.02_0.06_0.06_0.09_0.06_0.07_0.19_0.11_0.2_0.14_0.35_0.1","Cas9",4,8227,"g2",0.522822920038848,0.38288116163546,0.373328238440963,4,"Replicate1",0.561329766908674,0.065341994650363
"31",1135,1048,87,0.045207001366085,0.350660792951542,0.215859030837004,0.219383259911894,0.0713656387665198,0.0361233480176211,29.7171806167401,53,1036,46,26.7575757575758,29.7171806167401,"0.37_0.15_0.2_0.23_0.2_0.2_0.17_0.16_0.23_0.14_0.05_0.03_0_0.23_0.02_0.2_0.14_0.12_0.13_0.17","BE3",2,8227,"g9",0.0627253064167267,0.923348017621145,0.912775330396476,2,"Replicate1",0.0466960352422907,0.0405286343612335
